ID	Label
D1-189	AI
D1-190	Human
D1-191	AI
D1-192	Human
D1-193	AI
D1-194	Human
D1-195	AI
D1-196	Human
D1-197	AI
D1-198	Human
D1-199	AI
D1-200	Human
D1-201	AI
D1-202	Human
D1-203	AI
D1-204	Human
D1-205	AI
D1-206	Human
D1-207	AI
D1-208	Human
D1-209	AI
D1-210	Human
D1-211	AI
D1-212	Human
D1-213	AI
D1-214	Human
D1-215	AI
D1-216	Human
D1-217	AI
D1-218	Human
D1-219	AI
D1-220	Human
D1-221	AI
D1-222	Human
D1-223	AI
D1-224	Human
D1-225	AI
D1-226	Human
D1-227	AI
D1-228	Human
D1-229	AI
D1-230	Human
D1-231	AI
D1-232	Human
D1-233	AI
D1-234	Human
D1-235	AI
D1-236	Human
D1-237	AI
D1-238	Human
D1-239	AI
D1-240	Human
D1-241	AI
D1-242	Human
D1-243	AI
D1-244	Human
D1-245	AI
D1-246	Human
D1-247	AI
D1-248	Human
D1-249	AI
D1-250	Human
D1-251	AI
D1-252	Human
D1-253	AI
D1-254	Human
D1-255	AI
D1-256	Human
D1-257	AI
D1-258	Human
D1-259	AI
D1-260	Human
D1-261	AI
D1-262	Human
D1-263	AI
D1-264	Human
D1-265	AI
D1-266	Human
D1-267	AI
D1-268	Human
D1-269	AI
D1-270	Human
D1-271	AI
D1-272	Human
D1-273	AI
D1-274	Human
D1-275	AI
D1-276	Human
D1-277	AI
D1-278	Human
D1-279	AI
D1-280	Human
D1-281	AI
D1-282	Human
D1-283	AI
D1-284	Human
D1-285	AI
D1-286	Human
D1-287	AI
D1-288	Human
D1-289	AI
D1-290	Human
D1-291	AI
D1-292	Human
D1-293	AI
D1-294	Human
D1-295	AI
D1-296	Human
D1-297	AI
D1-298	Human
D1-299	AI
D1-300	Human
D1-301	AI
D1-302	Human
D1-303	AI
D1-304	Human
D1-305	AI
D1-306	Human
D1-307	AI
D1-308	Human
D1-309	AI
D1-310	Human
D1-311	AI
D1-312	Human
D1-313	AI
D1-314	Human
D1-315	AI
D1-316	Human
D1-317	AI
D1-318	Human
D1-319	AI
D1-320	Human
D1-321	AI
D1-322	Human
D1-323	AI
D1-324	Human
D1-325	AI
D1-326	Human
D1-327	AI
D1-328	Human
D1-329	AI
D1-330	Human
D1-331	AI
D1-332	Human
D1-333	AI
D1-334	Human
D1-335	AI
D1-336	Human
D1-337	AI
D1-338	Human
D1-339	AI
D1-340	Human
D1-341	AI
D1-342	Human
D1-343	AI
D1-344	Human
D1-345	AI
D1-346	Human
D1-347	AI
D1-348	Human
D1-349	AI
D1-350	Human
D1-351	AI
D1-352	Human
D1-353	AI
D1-354	Human
D1-355	AI
D1-356	Human
D1-357	AI
D1-358	Human
D1-359	AI
D1-360	Human
D1-361	AI
D1-362	Human
D1-363	AI
D1-364	Human
D1-365	AI
D1-366	Human
D1-367	AI
D1-368	Human
D1-369	AI
D1-370	Human
D1-371	AI
D1-372	Human
D1-373	AI
D1-374	Human
D1-375	AI
D1-376	Human
D1-377	AI
D1-378	Human
D1-379	AI
D1-380	Human
D1-381	AI
D1-382	Human
D1-383	AI
D1-384	Human
D1-385	AI
D1-386	Human
D1-387	AI
D1-388	Human
D1-389	AI
D1-390	Human
D1-391	AI
D1-392	Human
D1-393	AI
D1-394	Human
D1-395	AI
D1-396	Human
D1-397	AI
D1-398	Human
D1-399	AI
D1-400	Human
D1-401	AI
D1-402	Human
D1-403	AI
D1-404	Human
D1-405	AI
D1-406	Human
D1-407	AI
D1-408	Human
D1-409	AI
D1-410	Human
D1-411	AI
D1-412	Human
D1-413	AI
D1-414	Human
D1-415	AI
D1-416	Human
D1-417	AI
D1-418	Human
D1-419	AI
D1-420	Human
D1-421	AI
D1-422	Human
D1-423	AI
D1-424	Human
D1-425	AI
D1-426	Human
D1-427	AI
D1-428	Human
D1-429	AI
D1-430	Human
D1-431	AI
D1-432	Human
D1-433	AI
D1-434	Human
D1-435	AI
D1-436	Human
D1-437	AI
D1-438	Human
D1-439	AI
D1-440	Human
D1-441	AI
D1-442	Human
D1-443	AI
D1-444	Human
D1-445	AI
D1-446	Human
D1-447	AI
D1-448	Human
D1-449	AI
D1-450	Human
D1-451	AI
D1-452	Human
D1-453	AI
D1-454	Human
D1-455	AI
D1-456	Human
D1-457	AI
D1-458	Human
D1-459	AI
D1-460	Human
D1-461	AI
D1-462	Human
D1-463	AI
D1-464	Human
D1-465	AI
D1-466	Human
D1-467	AI
D1-468	Human
D1-469	AI
D1-470	Human
D1-471	AI
D1-472	Human
D1-473	AI
D1-474	Human
D1-475	AI
D1-476	Human
D1-477	AI
D1-478	Human
D1-479	AI
D1-480	Human
D1-481	AI
D1-482	Human
D1-483	AI
D1-484	Human
D1-485	AI
D1-486	Human
D1-487	AI
D1-488	Human
D1-489	AI
D1-490	Human
D1-491	AI
D1-492	Human
D1-493	AI
D1-494	Human
D1-495	AI
D1-496	Human
D1-497	AI
D1-498	Human
D1-499	AI
D1-500	Human
D1-501	AI
D1-502	Human
D1-503	AI
D1-504	Human
D1-505	AI
D1-506	Human
D1-507	AI
D1-508	Human
D1-509	AI
D1-510	Human
D1-511	AI
D1-512	Human
D1-513	AI
D1-514	Human
D1-515	AI
D1-516	Human
D1-517	AI
D1-518	Human
D1-519	AI
D1-520	Human
D1-521	AI
D1-522	Human
D1-523	AI
D1-524	Human
D1-525	AI
D1-526	Human
D1-527	AI
D1-528	Human
D1-529	AI
D1-530	Human
D1-531	AI
D1-532	Human
D1-533	AI
D1-534	Human
D1-535	AI
D1-536	Human
D1-537	AI
D1-538	Human
D1-539	AI
D1-540	Human
D1-541	AI
D1-542	Human
D1-543	AI
D1-544	Human
D1-545	AI
D1-546	Human
D1-547	AI
D1-548	Human
D1-549	AI
D1-550	Human
D1-551	AI
D1-552	Human
D1-553	AI
D1-554	Human
D1-555	AI
D1-556	Human
D1-557	AI
D1-558	Human
D1-559	AI
D1-560	Human
D1-561	AI
D1-562	Human
D1-563	AI
D1-564	Human
D1-565	AI
D1-566	Human
D1-567	AI
D1-568	Human
D1-569	AI
D1-570	Human
D1-571	AI
D1-572	Human
D1-573	AI
D1-574	Human
D1-575	AI
D1-576	Human
D1-577	AI
D1-578	Human
D1-579	AI
D1-580	Human
D1-581	AI
D1-582	Human
D1-583	AI
D1-584	Human
D1-585	AI
D1-586	Human
D1-587	AI
D1-588	Human
D1-589	AI
D1-590	Human
D1-591	AI
D1-592	Human
D1-593	AI
D1-594	Human
D1-595	AI
D1-596	Human
D1-597	AI
D1-598	Human
D1-599	AI
D1-600	Human
D1-601	AI
D1-602	Human
D1-603	AI
D1-604	Human
D1-605	AI
D1-606	Human
D1-607	AI
D1-608	Human
D1-609	AI
D1-610	Human
D1-611	AI
D1-612	Human
D1-613	AI
D1-614	Human
D1-615	AI
D1-616	Human
D1-617	AI
D1-618	Human
D1-619	AI
D1-620	Human
D1-621	AI
D1-622	Human
D1-623	AI
D1-624	Human
D1-625	AI
D1-626	Human
D1-627	AI
D1-628	Human
D1-629	AI
D1-630	Human
D1-631	AI
D1-632	Human
D1-633	AI
D1-634	Human
D1-635	AI
D1-636	Human
D1-637	AI
D1-638	Human
D1-639	AI
D1-640	Human
D1-641	AI
D1-642	Human
D1-643	AI
D1-644	Human
D1-645	AI
D1-646	Human
D1-647	AI
D1-648	Human
D1-649	AI
D1-650	Human
D1-651	AI
D1-652	Human
D1-653	AI
D1-654	Human
D1-655	AI
D1-656	Human
D1-657	AI
D1-658	Human
D1-659	AI
D1-660	Human
D1-661	AI
D1-662	Human
D1-663	AI
D1-664	Human
D1-665	AI
D1-666	Human
D1-667	AI
D1-668	Human
D1-669	AI
D1-670	Human
D1-671	AI
D1-672	Human
D1-673	AI
D1-674	Human
D1-675	AI
D1-676	Human
D1-677	AI
D1-678	Human
D1-679	AI
D1-680	Human
D1-681	AI
D1-682	Human
D1-683	AI
D1-684	Human
D1-685	AI
D1-686	Human
D1-687	AI
D1-688	Human
D1-689	AI
D1-690	Human
D1-691	AI
D1-692	Human
D1-693	AI
D1-694	Human
D1-695	AI
D1-696	Human
D1-697	AI
D1-698	Human
D1-699	AI
D1-700	Human
D1-701	AI
D1-702	Human
D1-703	AI
D1-704	Human
D1-705	AI
D1-706	Human
D1-707	AI
D1-708	Human
D1-709	AI
D1-710	Human
D1-711	AI
D1-712	Human
D1-713	AI
D1-714	Human
D1-715	AI
D1-716	Human
D1-717	AI
D1-718	Human
D1-719	AI
D1-720	Human
D1-721	AI
D1-722	Human
D1-723	AI
D1-724	Human
D1-725	AI
D1-726	Human
D1-727	AI
D1-728	Human
D1-729	AI
D1-730	Human
D1-731	AI
D1-732	Human
D1-733	AI
D1-734	Human
D1-735	AI
D1-736	Human
D1-737	AI
D1-738	Human
D1-739	AI
D1-740	Human
D1-741	AI
D1-742	Human
D1-743	AI
D1-744	Human
D1-745	AI
D1-746	Human
D1-747	AI
D1-748	Human
D1-749	AI
D1-750	Human
D1-751	AI
D1-752	Human
D1-753	AI
D1-754	Human
D1-755	AI
D1-756	Human
D1-757	AI
D1-758	Human
D1-759	AI
D1-760	Human
D1-761	AI
D1-762	Human
D1-763	AI
D1-764	Human
D1-765	AI
D1-766	Human
D1-767	AI
D1-768	Human
D1-769	AI
D1-770	Human
D1-771	AI
D1-772	Human
D1-773	AI
D1-774	Human
D1-775	AI
D1-776	Human
D1-777	AI
D1-778	Human
D1-779	AI
D1-780	Human
D1-781	AI
D1-782	Human
D1-783	AI
D1-784	Human
D1-785	AI
D1-786	Human
D1-787	AI
D1-788	Human
D1-789	AI
D1-790	Human
D1-791	AI
D1-792	Human
D1-793	AI
D1-794	Human
D1-795	AI
D1-796	Human
D1-797	AI
D1-798	Human
D1-799	AI
D1-800	Human
D1-801	AI
D1-802	Human
D1-803	AI
D1-804	Human
D1-805	AI
D1-806	Human
D1-807	AI
D1-808	Human
D1-809	AI
D1-810	Human
D1-811	AI
D1-812	Human
D1-813	AI
D1-814	Human
D1-815	AI
D1-816	Human
D1-817	AI
D1-818	Human
D1-819	AI
D1-820	Human
D1-821	AI
D1-822	Human
D1-823	AI
D1-824	Human
D1-825	AI
D1-826	Human
D1-827	AI
D1-828	Human
D1-829	AI
D1-830	Human
D1-831	AI
D1-832	Human
D1-833	AI
D1-834	Human
D1-835	AI
D1-836	Human
D1-837	AI
D1-838	Human
D1-839	AI
D1-840	Human
D1-841	AI
D1-842	Human
D1-843	AI
D1-844	Human
D1-845	AI
D1-846	Human
D1-847	AI
D1-848	Human
D1-849	AI
D1-850	Human
D1-851	AI
D1-852	Human
D1-853	AI
D1-854	Human
D1-855	AI
D1-856	Human
D1-857	AI
D1-858	Human
D1-859	AI
D1-860	Human
D1-861	AI
D1-862	Human
D1-863	AI
D1-864	Human
D1-865	AI
D1-866	Human
D1-867	AI
D1-868	Human
D1-869	AI
D1-870	Human
D1-871	AI
D1-872	Human
D1-873	AI
D1-874	Human
D1-875	AI
D1-876	Human
D1-877	AI
D1-878	Human
D1-879	AI
D1-880	Human
D1-881	AI
D1-882	Human
D1-883	AI
D1-884	Human
D1-885	AI
D1-886	Human
D1-887	AI
D1-888	Human
D1-889	AI
D1-890	Human
D1-891	AI
D1-892	Human
D1-893	AI
D1-894	Human
D1-895	AI
D1-896	Human
D1-897	AI
D1-898	Human
D1-899	AI
D1-900	Human
D1-901	AI
D1-902	Human
D1-903	AI
D1-904	Human
D1-905	AI
D1-906	Human
D1-907	AI
D1-908	Human
D1-909	AI
D1-910	Human
D1-911	AI
D1-912	Human
D1-913	AI
D1-914	Human
D1-915	AI
D1-916	Human
D1-917	AI
D1-918	Human
D1-919	AI
D1-920	Human
D1-921	AI
D1-922	Human
D1-923	AI
D1-924	Human
D1-925	AI
D1-926	Human
D1-927	AI
D1-928	Human
D1-929	AI
D1-930	Human
D1-931	AI
D1-932	Human
D1-933	AI
D1-934	Human
D1-935	AI
D1-936	Human
D1-937	AI
D1-938	Human
D1-939	AI
D1-940	Human
D1-941	AI
D1-942	Human
D1-943	AI
D1-944	Human
D1-945	AI
D1-946	Human
D1-947	AI
D1-948	Human
D1-949	AI
D1-950	Human
D1-951	AI
D1-952	Human
D1-953	AI
D1-954	Human
D1-955	AI
D1-956	Human
D1-957	AI
D1-958	Human
D1-959	AI
D1-960	Human
D1-961	AI
D1-962	Human
D1-963	AI
D1-964	Human
D1-965	AI
D1-966	Human
D1-967	AI
D1-968	Human
D1-969	AI
D1-970	Human
D1-971	AI
D1-972	Human
D1-973	AI
D1-974	Human
D1-975	AI
D1-976	Human
D1-977	AI
D1-978	Human
D1-979	AI
D1-980	Human
D1-981	AI
D1-982	Human
D1-983	AI
D1-984	Human
D1-985	AI
D1-986	Human
D1-987	AI
D1-988	Human
D1-989	AI
D1-990	Human
D1-991	AI
D1-992	Human
D1-993	AI
D1-994	Human
D1-995	AI
D1-996	Human
D1-997	AI
D1-998	Human
D1-999	AI
D1-1000	Human
D1-1001 Human
D1-1002 Human
D1-1003 Human
D1-1004 Human
D1-1005 Human
D1-1006 Human
D1-1007 Human
D1-1008 Human
D1-1009 AI
D1-1010 Human
D1-1011 AI
D1-1012 Human
D1-1013 Human
D1-1014 Human
D1-1015 Human
D1-1016 AI
D1-1017 Human
D1-1018 Human
D1-1019 AI
D1-1020 AI
D1-1021 AI
D1-1022 Human
D1-1023 AI
D1-1024 AI
D1-1025 Human
D1-1026 AI
D1-1027 AI
D1-1028 Human
D1-1029 Human
D1-1030 Human
D1-1031 Human
D1-1032 AI
D1-1033 Human
D1-1034 Human
D1-1035 Human
D1-1036 Human
D1-1037 Human
D1-1038 AI
D1-1039 Human
D1-1040 Human
D1-1041 Human
D1-1042 AI
D1-1043 Human
D1-1044 Human
D1-1045 AI
D1-1046 Human
D1-1047 Human
D1-1048 Human
D1-1049 Human
D1-1050 AI
D1-1051 Human
D1-1052 Human
D1-1053 Human
D1-1054 AI
D1-1055 AI
D1-1056 Human
D1-1057 Human
D1-1058 Human
D1-1059 AI
D1-1060 AI
D1-1061 AI
D1-1062 Human
D1-1063 Human
D1-1064 AI
D1-1065 Human
D1-1066 AI
D1-1067 Human
D1-1068 AI
D1-1069 Human
D1-1070 Human
D1-1071 Human
D1-1072 Human
D1-1073 Human
D1-1074 Human
D1-1075 Human
D1-1076 AI
D1-1077 Human
D1-1078 AI
D1-1079 AI
D1-1080 Human
D1-1081 AI
D1-1082 Human
D1-1083 AI
D1-1084 AI
D1-1085 Human
D1-1086 AI
D1-1087 AI
D1-1088 Human
D1-1089 AI
D1-1090 Human
D1-1091 Human
D1-1092 Human
D1-1093 Human
D1-1094 Human
D1-1095 AI
D1-1096 AI
D1-1097 Human
D1-1098 Human
D1-1099 Human
D1-1100 AI
D1-1101 Human
D1-1102 AI
D1-1103 AI
D1-1104 Human
D1-1105 Human
D1-1106 Human
D1-1107 Human
D1-1108 Human
D1-1109 Human
D1-1110 AI
D1-1111 AI
D1-1112 AI
D1-1113 Human
D1-1114 AI
D1-1115 Human
D1-1116 Human
D1-1117 Human
D1-1118 AI
D1-1119 Human
D1-1120 AI
D1-1121 AI
D1-1122 AI
D1-1123 AI
D1-1124 Human
D1-1125 Human
D1-1126 AI
D1-1127 AI
D1-1128 AI
D1-1129 Human
D1-1130 Human
D1-1131 Human
D1-1132 AI
D1-1133 AI
D1-1134 AI
D1-1135 Human
D1-1136 Human
D1-1137 AI
D1-1138 AI
D1-1139 Human
D1-1140 Human
D1-1141 Human
D1-1142 Human
D1-1143 Human
D1-1144 Human
D1-1145 Human
D1-1146 Human
D1-1147 AI
D1-1148 Human
D1-1149 Human
D1-1150 Human
D1-1151 Human
D1-1152 AI
D1-1153 AI
D1-1154 AI
D1-1155 Human
D1-1156 Human
D1-1157 Human
D1-1158 Human
D1-1159 AI
D1-1160 AI
D1-1161 Human
D1-1162 AI
D1-1163 Human
D1-1164 Human
D1-1165 Human
D1-1166 Human
D1-1167 Human
D1-1168 AI
D1-1169 Human
D1-1170 Human
D1-1171 Human
D1-1172 AI
D1-1173 AI
D1-1174 Human
D1-1175 Human
D1-1176 Human
D1-1177 Human
D1-1178 AI
D1-1179 Human
D1-1180 Human
D1-1181 Human
D1-1182 AI
D1-1183 AI
D1-1184 Human
D1-1185 Human
D1-1186 Human
D1-1187 Human
D1-1188 Human
D1-1189 AI
D1-1190 Human
D1-1191 Human
D1-1192 AI
D1-1193 Human
D1-1194 AI
D1-1195 Human
D1-1196 Human
D1-1197 AI
D1-1198 AI
D1-1199 AI
D1-1200 Human
D1-1201 Human
D1-1202 AI
D1-1203 Human
D1-1204 AI
D1-1205 Human
D1-1206 AI
D1-1207 AI
D1-1208 Human
D1-1209 Human
D1-1210 AI
D1-1211 Human
D1-1212 AI
D1-1213 Human
D1-1214 AI
D1-1215 AI
D1-1216 Human
D1-1217 AI
D1-1218 Human
D1-1219 AI
D1-1220 AI
D1-1221 Human
D1-1222 Human
D1-1223 Human
D1-1224 AI
D1-1225 Human
D1-1226 AI
D1-1227 Human
D1-1228 AI
D1-1229 AI
D1-1230 AI
D1-1231 Human
D1-1232 Human
D1-1233 Human
D1-1234 AI
D1-1235 AI
D1-1236 Human
D1-1237 Human
D1-1238 AI
D1-1239 Human
D1-1240 Human
D1-1241 AI
D1-1242 Human
D1-1243 AI
D1-1244 AI
D1-1245 AI
D1-1246 Human
D1-1247 Human
D1-1248 AI
D1-1249 Human
D1-1250 Human
D1-1251 AI
D1-1252 Human
D1-1253 AI
D1-1254 Human
D1-1255 AI
D1-1256 Human
D1-1257 AI
D1-1258 Human
D1-1259 Human
D1-1260 AI
D1-1261 AI
D1-1262 Human
D1-1263 AI
D1-1264 Human
D1-1265 Human
D1-1266 Human
D1-1267 AI
D1-1268 AI
D1-1269 AI
D1-1270 AI
D1-1271 Human
D1-1272 Human
D1-1273 AI
D1-1274 AI
D1-1275 Human
D1-1276 Human
D1-1277 AI
D1-1278 Human
D1-1279 Human
D1-1280 AI
D1-1281 Human
D1-1282 Human
D1-1283 Human
D1-1284 Human
D1-1285 Human
D1-1286 AI
D1-1287 Human
D1-1288 Human
D1-1289 AI
D1-1290 Human
D1-1291 Human
D1-1292 Human
D1-1293 Human
D1-1294 Human
D1-1295 Human
D1-1296 AI
D1-1297 Human
D1-1298 Human
D1-1299 Human
D1-1300 Human
D1-1301 Human
D1-1302 AI
D1-1303 AI
D1-1304 Human
D1-1305 Human
D1-1306 Human
D1-1307 Human
D1-1308 AI
D1-1309 Human
D1-1310 Human
D1-1311 AI
D1-1312 Human
D1-1313 Human
D1-1314 AI
D1-1315 Human
D1-1316 Human
D1-1317 AI
D1-1318 Human
D1-1319 AI
D1-1320 Human
D1-1321 Human
D1-1322 AI
D1-1323 Human
D1-1324 Human
D1-1325 AI
D1-1326 Human
D1-1327 Human
D1-1328 AI
D1-1329 AI
D1-1330 Human
D1-1331 Human
D1-1332 Human
D1-1333 AI
D1-1334 AI
D1-1335 AI
D1-1336 AI
D1-1337 Human
D1-1338 Human
D1-1339 Human
D1-1340 Human
D1-1341 Human
D1-1342 AI
D1-1343 AI
D1-1344 Human
D1-1345 Human
D1-1346 AI
D1-1347 Human
D1-1348 AI
D1-1349 AI
D1-1350 Human
D1-1351 Human
D1-1352 Human
D1-1353 AI
D1-1354 Human
D1-1355 AI
D1-1356 Human
D1-1357 Human
D1-1358 AI
D1-1359 AI
D1-1360 AI
D1-1361 AI
D1-1362 AI
D1-1363 Human
D1-1364 AI
D1-1365 AI
D1-1366 Human
D1-1367 AI
D1-1368 Human
D1-1369 Human
D1-1370 Human
D1-1371 AI
D1-1372 AI
D1-1373 Human
D1-1374 AI
D1-1375 Human
D1-1376 Human
D1-1377 AI
D1-1378 AI
D1-1379 Human
D1-1380 Human
D1-1381 Human
D1-1382 Human
D1-1383 Human
D1-1384 Human
D1-1385 Human
D1-1386 AI
D1-1387 Human
D1-1388 Human
D1-1389 AI
D1-1390 AI
D1-1391 Human
D1-1392 Human
D1-1393 AI
D1-1394 AI
D1-1395 Human
D1-1396 Human
D1-1397 Human
D1-1398 AI
D1-1399 Human
D1-1400 AI
D1-1401 AI
D1-1402 AI
D1-1403 Human
D1-1404 Human
D1-1405 Human
D1-1406 Human
D1-1407 Human
D1-1408 Human
D1-1409 Human
D1-1410 AI
D1-1411 Human
D1-1412 AI
D1-1413 AI
D1-1414 Human
D1-1415 Human
D1-1416 AI
D1-1417 Human
D1-1418 AI
D1-1419 AI
D1-1420 Human
D1-1421 Human
D1-1422 Human
D1-1423 AI
D1-1424 Human
D1-1425 Human
D1-1426 Human
D1-1427 AI
D1-1428 Human
D1-1429 Human
D1-1430 Human
D1-1431 Human
D1-1432 Human
D1-1433 Human
D1-1434 AI
D1-1435 Human
D1-1436 Human
D1-1437 Human
D1-1438 AI
D1-1439 Human
D1-1440 AI
D1-1441 Human
D1-1442 Human
D1-1443 Human
D1-1444 AI
D1-1445 AI
D1-1446 Human
D1-1447 Human
D1-1448 Human
D1-1449 Human
D1-1450 AI
D1-1451 AI
D1-1452 AI
D1-1453 Human
D1-1454 Human
D1-1455 Human
D1-1456 AI
D1-1457 AI
D1-1458 Human
D1-1459 Human
D1-1460 AI
D1-1461 Human
D1-1462 AI
D1-1463 Human
D1-1464 Human
D1-1465 AI
D1-1466 AI
D1-1467 AI
D1-1468 Human
D1-1469 Human
D1-1470 Human
D1-1471 Human
D1-1472 Human
D1-1473 Human
D1-1474 Human
D1-1475 AI
D1-1476 AI
D1-1477 Human
D1-1478 AI
D1-1479 Human
D1-1480 Human
D1-1481 AI
D1-1482 AI
D1-1483 AI
D1-1484 Human
D1-1485 AI
D1-1486 AI
D1-1487 Human
D1-1488 AI
D1-1489 Human
D1-1490 Human
D1-1491 Human
D1-1492 Human
D1-1493 Human
D1-1494 Human
D1-1495 Human
D1-1496 AI
D1-1497 AI
D1-1498 AI
D1-1499 Human
D1-1500 Human
D1-1501 AI
D1-1502 Human
D1-1503 Human
D1-1504 AI
D1-1505 Human
D1-1506 Human
D1-1507 Human
D1-1508 AI
D1-1509 Human
D1-1510 AI
D1-1511 Human
D1-1512 Human
D1-1513 Human
D1-1514 AI
D1-1515 AI
D1-1516 AI
D1-1517 AI
D1-1518 Human
D1-1519 AI
D1-1520 AI
D1-1521 AI
D1-1522 Human
D1-1523 Human
D1-1524 AI
D1-1525 Human
D1-1526 AI
D1-1527 AI
D1-1528 Human
D1-1529 Human
D1-1530 Human
D1-1531 Human
D1-1532 AI
D1-1533 Human
D1-1534 Human
D1-1535 AI
D1-1536 Human
D1-1537 Human
D1-1538 AI
D1-1539 Human
D1-1540 Human
D1-1541 Human
D1-1542 AI
D1-1543 AI
D1-1544 AI
D1-1545 AI
D1-1546 Human
D1-1547 AI
D1-1548 AI
D1-1549 Human
D1-1550 Human
D1-1551 Human
D1-1552 AI
D1-1553 Human
D1-1554 Human
D1-1555 AI
D1-1556 AI
D1-1557 Human
D1-1558 AI
D1-1559 Human
D1-1560 AI
D1-1561 Human
D1-1562 Human
D1-1563 Human
D1-1564 Human
D1-1565 Human
D1-1566 AI
D1-1567 Human
D1-1568 AI
D1-1569 AI
D1-1570 Human
D1-1571 Human
D1-1572 AI
D1-1573 Human
D1-1574 AI
D1-1575 Human
D1-1576 Human
D1-1577 Human
D1-1578 Human
D1-1579 AI
D1-1580 Human
D1-1581 AI
D1-1582 Human
D1-1583 Human
D1-1584 AI
D1-1585 Human
D1-1586 AI
D1-1587 AI
D1-1588 Human
D1-1589 Human
D1-1590 Human
D1-1591 AI
D1-1592 AI
D1-1593 AI
D1-1594 Human
D1-1595 AI
D1-1596 Human
D1-1597 Human
D1-1598 AI
D1-1599 AI
D1-1600 AI
D1-1601 Human
D1-1602 Human
D1-1603 Human
D1-1604 AI
D1-1605 Human
D1-1606 Human
D1-1607 Human
D1-1608 Human
D1-1609 AI
D1-1610 AI
D1-1611 Human
D1-1612 AI
D1-1613 AI
D1-1614 Human
D1-1615 Human
D1-1616 Human
D1-1617 Human
D1-1618 Human
D1-1619 Human
D1-1620 Human
D1-1621 AI
D1-1622 Human
D1-1623 AI
D1-1624 Human
D1-1625 AI
D1-1626 Human
D1-1627 Human
D1-1628 AI
D1-1629 Human
D1-1630 Human
D1-1631 Human
D1-1632 Human
D1-1633 Human
D1-1634 AI
D1-1635 AI
D1-1636 Human
D1-1637 AI
D1-1638 Human
D1-1639 Human
D1-1640 Human
D1-1641 AI
D1-1642 Human
D1-1643 Human
D1-1644 AI
D1-1645 Human
D1-1646 Human
D1-1647 Human
D1-1648 Human
D1-1649 AI
D1-1650 Human
D1-1651 Human
D1-1652 Human
D1-1653 Human
D1-1654 AI
D1-1655 Human
D1-1656 Human
D1-1657 Human
D1-1658 AI
D1-1659 AI
D1-1660 Human
D1-1661 Human
D1-1662 Human
D1-1663 AI
D1-1664 Human
D1-1665 Human
